trial_index,stage,name,status,failure_class,seconds,intended_tokens,completed_tokens,completion_fraction,final_eval_main_loss,best_eval_main_loss,median_tokens_per_second,trainable_parameters,active_parameters_estimate,ffn_type,kda_layers,latent_attention_layers,mtp_depth,gpu_util_mean_pct,gpu_util_median_pct,gpu_util_active_median_pct,gpu_util_p90_pct,gpu_power_median_w,gpu_power_min_w,gpu_sm_clock_median_mhz,gpu_sm_clock_min_mhz,gpu_mem_used_median_mib,gpu_temp_median_c,child_pid,power_event_note,interpretation_guardrail
20,arch-screen,dense-gdn2-hybrid,ok,,416.94568734800123,4194304,4194304,1.0,6.7734375,6.7734375,13568.553865958753,219307992,219307992,dense,0,6,0,63.59036144578313,74.0,77.0,92.8,114.57,12.63,2400.0,465.0,5686.0,85.0,57601,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
21,arch-screen,stable-latentmoe-kda3,ok,,535.0482229789995,4194304,4194304,1.0,6.76953125,6.76953125,8012.889639807047,425597016,198510552,latent_moe,18,6,0,58.12264150943396,61.0,61.0,73.0,84.975,12.78,2415.0,210.0,5934.0,72.0,59737,,SCREEN ONLY; implementation was not faithful to Kimi K3 Stable LatentMoE.
22,arch-screen,attnres-dense-kda3,ok,,366.12304300600226,4194304,4194304,1.0,7.2109375,7.2109375,12820.038245625281,198315480,198315480,dense,18,6,0,76.56164383561644,76.0,77.0,93.8,113.14,16.25,2400.0,555.0,4888.0,84.0,62245,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
23,arch-screen,dense-kda3-repeat,ok,,295.2025622550027,4194304,4194304,1.0,6.7734375,6.7734375,14703.510003118197,198240216,198240216,dense,18,6,0,75.7457627118644,77.0,77.0,90.2,113.5,12.7,2400.0,210.0,4026.0,86.0,64128,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
24,lr-sweep,dense-kda3-lr2e-4,ok,,583.6030791649973,8388608,8388608,1.0,6.953125,6.953125,14677.558059504892,198240216,198240216,dense,18,6,0,77.56896551724138,77.0,77.0,90.0,113.42,12.64,2400.0,330.0,4026.0,86.0,65745,,LR-local evidence only; architecture/backend confounds remain.
25,lr-sweep,dense-all-mla-lr2e-4,ok,,540.2714172769993,8388608,8388608,1.0,6.140625,6.0,15734.670634671082,192143616,192143616,dense,0,24,0,81.38317757009345,83.0,83.0,90.0,112.55,12.8,2355.0,390.0,3848.0,86.0,68532,,LR-local evidence only; architecture/backend confounds remain.
26,lr-sweep,dense-kda1-lr2e-4,error,non_finite_loss_nan,289.1504131340007,8388608,4194304,0.5,6.71875,6.71875,15174.78901252356,196208016,196208016,dense,12,12,0,76.29310344827586,78.5,79.0,90.0,114.58,12.57,2400.0,255.0,3960.0,86.0,71119,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
27,lr-sweep,dense-kda3-lr3e-4,ok,,607.8999500659993,8388608,8388608,1.0,6.69140625,6.6171875,13967.099451865866,198240216,198240216,dense,18,6,0,73.54545454545455,75.0,75.0,89.0,111.52,12.75,2400.0,375.0,4026.0,81.0,72565,,LR-local evidence only; architecture/backend confounds remain.
28,lr-sweep,dense-all-mla-lr3e-4,ok,,546.4071843190031,8388608,8388608,1.0,6.0,5.83984375,15763.119151002329,192143616,192143616,dense,0,24,0,79.20370370370371,80.0,80.0,89.3,115.97,12.46,2400.0,285.0,3848.0,85.0,78704,"User-reported brief AC unplug; telemetry confirms two ~5s samples at ~55W/1185MHz and ~54W/870MHz, followed by immediate recovery. Full token budget/checkpoint completed.",LR-local evidence only; architecture/backend confounds remain.
29,lr-sweep,dense-kda1-lr3e-4,ok,,565.76466239,8388608,8388608,1.0,6.5625,6.48828125,15112.391271229917,196208016,196208016,dense,12,12,0,78.90178571428571,78.0,78.0,90.0,115.42,12.61,2400.0,390.0,3960.0,85.0,82535,,LR-local evidence only; architecture/backend confounds remain.
30,lr-sweep,dense-kda3-lr4e-4,error,non_finite_loss_nan,324.8512080820001,8388608,4587520,0.546875,6.69921875,6.69921875,14435.872154248233,198240216,198240216,dense,18,6,0,76.56923076923077,77.0,79.0,89.0,113.97,12.77,2400.0,375.0,4026.0,83.0,85437,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
31,lr-sweep,dense-all-mla-lr4e-4,ok,,559.2134030279994,8388608,8388608,1.0,5.91015625,5.7421875,14953.353793385982,192143616,192143616,dense,0,24,0,77.45945945945945,77.0,77.0,89.0,113.42,12.63,2400.0,615.0,3848.0,85.0,87145,,LR-local evidence only; architecture/backend confounds remain.
32,lr-sweep,dense-kda1-lr4e-4,ok,,623.1772912710003,8388608,8388608,1.0,6.42578125,6.41015625,13713.61068461348,196208016,196208016,dense,12,12,0,70.20325203252033,70.0,70.5,85.8,106.18,12.8,2400.0,390.0,3960.0,79.0,90350,,LR-local evidence only; architecture/backend confounds remain.
33,confirmation,dense-all-mla-confirm-s1337,ok,,1115.2792216460002,16777216,16777216,1.0,5.9921875,5.328125,15235.469238440197,192143616,192143616,dense,0,24,0,78.12217194570135,77.0,77.0,89.0,111.89,12.84,2400.0,405.0,3848.0,81.0,93501,,MODERATE short-context proxy evidence; still <1 proxy epoch and not long-context evidence.
34,confirmation,dense-all-mla-confirm-s2027,ok,,1118.2790335809987,16777216,16777216,1.0,5.984375,5.3046875,15170.117924299364,192143616,192143616,dense,0,24,0,77.18099547511312,76.0,76.0,88.0,112.62,12.57,2400.0,390.0,3848.0,82.0,99472,,MODERATE short-context proxy evidence; still <1 proxy epoch and not long-context evidence.
35,confirmation,dense-kda1-confirm-s1337,ok,,1231.2054657879999,16777216,16777216,1.0,6.19140625,5.5859375,13807.760468815843,196208016,196208016,dense,12,12,0,71.48971193415638,72.0,72.0,85.0,107.21,12.63,2400.0,255.0,3960.0,79.0,104669,,MODERATE short-context proxy evidence; still <1 proxy epoch and not long-context evidence.
36,confirmation,dense-kda1-confirm-s2027,ok,,1292.5006978109996,16777216,16777216,1.0,6.19140625,5.546875,13129.24466509312,196208016,196208016,dense,12,12,0,68.4296875,69.0,69.0,83.0,105.995,12.87,2400.0,405.0,3960.0,83.0,110527,,MODERATE short-context proxy evidence; still <1 proxy epoch and not long-context evidence.
37,frontier-transfer,frontier-dense-all-mla,ok,,618.6132192110017,4194304,4194304,1.0,6.08203125,6.08203125,6865.016653355243,482805625,482805625,dense,0,30,0,86.47967479674797,91.0,91.0,100.0,107.94,13.03,1995.0,315.0,2776.0,86.0,116539,,Transfer sanity check; not a full-scale training result.
38,frontier-transfer,frontier-dense-kda1,ok,,624.5444130539981,4194304,4194304,1.0,6.8515625,6.8515625,6813.102820008782,505460905,505460905,dense,15,15,0,88.24193548387096,93.5,94.0,100.0,108.13,13.1,1980.0,330.0,2928.0,87.0,119414,,Transfer sanity check; not a full-scale training result.
39,optimizer,dense-all-mla-opt-apollo,ok,,288.82333736299915,4194304,4194304,1.0,6.0234375,6.0234375,14840.597364737587,192143616,192143616,dense,0,24,0,76.6140350877193,77.0,77.0,90.0,106.42,13.07,2280.0,360.0,3848.0,86.0,122331,,SHORT optimizer scout; rerun finalists with matched schedule/seeds.
40,optimizer,dense-all-mla-opt-muon-5e-3,ok,,298.7116141419974,4194304,4194304,1.0,5.875,5.875,14317.29246032489,192143616,192143616,dense,0,24,0,78.13559322033899,79.0,79.5,90.0,108.89,13.2,2340.0,600.0,4502.0,86.0,123756,,SHORT optimizer scout; rerun finalists with matched schedule/seeds.
41,optimizer,dense-all-mla-opt-muon-1e-2,ok,,296.95951937000063,4194304,4194304,1.0,5.921875,5.921875,14435.538908331262,192143616,192143616,dense,0,24,0,76.9322033898305,77.0,77.0,90.0,111.22,12.74,2370.0,210.0,4502.0,86.0,125242,,SHORT optimizer scout; rerun finalists with matched schedule/seeds.
42,optimizer,dense-all-mla-opt-muon-2e-2,ok,,294.9221141529997,4194304,4194304,1.0,6.015625,6.015625,14498.008959047242,192143616,192143616,dense,0,24,0,77.50847457627118,79.0,79.0,90.0,113.83,12.82,2400.0,210.0,4502.0,86.0,126705,,SHORT optimizer scout; rerun finalists with matched schedule/seeds.
43,mtp,dense-all-mla-mtp-none-s1337,ok,,558.3473242839973,8388608,8388608,1.0,5.984375,5.75,15245.786269296155,192143616,192143616,dense,0,24,0,79.33333333333333,80.0,80.5,88.0,113.97,13.04,2400.0,405.0,3848.0,84.0,128157,,MTP ablation under current implementation; inference speedup not yet realized.
44,mtp,dense-all-mla-mtp-none-s2027,ok,,555.9808597260053,8388608,8388608,1.0,5.93359375,5.76171875,15332.237020497345,192143616,192143616,dense,0,24,0,77.7909090909091,77.5,78.0,88.0,112.545,12.82,2400.0,390.0,3848.0,81.0,130814,,MTP ablation under current implementation; inference speedup not yet realized.
45,mtp,dense-all-mla-mtp-low_rank-s1337,ok,,691.191967978004,8388608,8388608,1.0,5.94921875,5.734375,12280.501215351831,192734208,192734208,dense,0,24,1,80.84671532846716,82.0,82.5,98.0,116.32,12.81,2400.0,390.0,3934.0,82.0,133449,,MTP ablation under current implementation; inference speedup not yet realized.
46,mtp,dense-all-mla-mtp-low_rank-s2027,ok,,666.2203284339994,8388608,8388608,1.0,5.9375,5.73828125,12800.339153955396,192734208,192734208,dense,0,24,1,85.74242424242425,85.0,85.0,98.0,120.255,12.78,2400.0,285.0,3934.0,84.0,137801,,MTP ablation under current implementation; inference speedup not yet realized.
47,mtp,dense-all-mla-mtp-deepseek-s1337,error,transformer_engine_fp8_alignment,4.311336924001807,8388608,0,0.0,,,,200282944,200282944,dense,0,24,1,0.0,0.0,,0.0,12.39,12.39,285.0,285.0,14.0,57.0,141006,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
48,mtp,dense-all-mla-mtp-deepseek-s2027,error,transformer_engine_fp8_alignment,4.319839184994635,8388608,0,0.0,,,,200282944,200282944,dense,0,24,1,0.0,0.0,,0.0,11.19,11.19,315.0,315.0,14.0,53.0,141141,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
